,sensorValue
292,0.06320155639279967
293,0.042326800533424525
294,0.04566224975217459
295,0.059576068111549585
296,0.03323085326779962
297,-0.03686997681032533
298,-0.08868223266970032
299,-0.07614609985720033
300,-0.03456577759157553
301,-0.03438047485720053
302,-0.08534678345095048
303,-0.1283047912634505
304,-0.12522715454470057
305,-0.11222373657595042
306,-0.13659507446657537
307,-0.17893272095095059
308,-0.1830254943884504
309,-0.14580381470095038
310,-0.12465513306032538
311,-0.1485591857947004
312,-0.17326890259157546
313,-0.15046860962282538
314,-0.10051743774782551
315,-0.07675034790407542
316,-0.08110899048220044
317,-0.06446397095095047
318,-0.010121929935325458
319,0.032022357174049665
320,0.01838246459592452
321,-0.019201763919700632
322,-0.013723248294700507
323,0.04512245483029953
324,0.09658827514279955
325,0.09253578490842451
326,0.06218641967404959
327,0.06693983764279943
328,0.10963197631467447
329,0.13029725951779958
330,0.09752284545529943
331,0.05862538451779953
332,0.07402162475217455
333,0.1301039001427995
334,0.15513588256467448
335,0.11927577514279952
336,0.07437611693967461
337,0.0768011657677996
338,0.10724721068967447
339,0.10210707397092467
340,0.04981947631467443
341,0.009584613033424505
342,0.023192279049049525
343,0.05441981811154961
344,0.04853041381467449
345,0.016569720455299475
346,0.013427630611549501
347,0.046822406002174466
348,0.061114886470924557
349,0.023828753658424517
350,-0.021699322513450525
351,-0.020063824466575397
352,0.014184954830299468
353,0.018567767330299523
354,-0.024849468997825586
355,-0.06294932251345053
356,-0.04897105102907551
357,-0.010951763919700541
358,-0.01007359009157538
359,-0.049188580325950415
360,-0.0692254455603254
361,-0.03916611938845049
362,-0.00392637329470058
363,-0.016599468997825495
364,-0.05785752563845037
365,-0.06368247681032546
366,-0.018251080325950575
367,0.022934466549049626
368,0.01261390990842437
369,-0.021852398685325625
370,-0.022400250247825326
371,0.010511126705299523
372,0.019655413814674505
373,-0.016494732669700474
374,-0.04719053345095037
375,-0.026750836185325477
376,0.01602186889279955
377,0.02281361693967443
378,-0.005739117435325625
379,-0.014263043216575566
380,0.017681536861549496
381,0.039950091549049604
382,0.008327777095924471
383,-0.04568394165407552
384,-0.05975889282595048
385,-0.030223248294700467
386,-0.013642681888450525
387,-0.04142197876345044
388,-0.07675840454470051
389,-0.07653281860720051
390,-0.058767926029075435
391,-0.06792026977907528
392,-0.09794736938845028
393,-0.10254771118532546
394,-0.07452671509157538
395,-0.06374692993532549
396,-0.10263633423220053
397,-0.1525552795447005
398,-0.15504478149782552
399,-0.11667100220095028
400,-0.1007833068884505
401,-0.13352549438845052
402,-0.16543784790407545
403,-0.1456910217322005
404,-0.09609434204470046
405,-0.07557407837282537
406,-0.09186460571657551
407,-0.09560288696657548
408,-0.06108823852907541
409,-0.026396343997825422
410,-0.03255161743532553
411,-0.06004893188845051
412,-0.06465733032595034
413,-0.05039707641970037
414,-0.0563187072790754
415,-0.08196299438845034
416,-0.07818442993532537
417,-0.02162681274782563
418,0.04229457397092462
419,0.05845619506467448
420,0.03912831420529961
421,0.04267323608029949
422,0.08357680053342453
423,0.11041347045529948
424,0.08745204467404943
425,0.051366351314674485
426,0.05416200561154949
427,0.08368153686154955
428,0.08413270873654954
429,0.04358363647092456
430,0.013596820064674553
431,0.031224749752174485
432,0.06295180053342442
433,0.057110736080299374
434,0.023401751705299567
435,0.01710145873654967
436,0.054065325924049557
437,0.08565541381467456
438,0.07125014037717459
439,0.03758143920529955
440,0.03684828490842462
441,0.06688344115842448
442,0.07110512084592457
443,0.022233538814674603
444,-0.03158482056032552
445,-0.0268555725134505
446,0.03012098998654955
447,0.06791469115842452
448,0.04107802123654958
449,-0.014311383060325422
450,-0.036547711185325626
451,-0.024938092044700433
452,-0.03233408813845062
453,-0.07744321899782558
454,-0.11311802368532553
455,-0.09818906860720045
456,-0.06164414673220042
457,-0.06205503540407542
458,-0.10244297485720044
459,-0.12575083618532545
460,-0.09598960571657544
461,-0.04943833618532545
462,-0.04232432251345042
463,-0.06994248657595037
464,-0.07612192993532552
465,-0.037683697513450465
466,0.0015843688927996702
467,-0.0030562561072005057
468,-0.03178623657595048
469,-0.03464634399782551
470,-0.009267926029075335
471,0.0003436462365495885
472,-0.021143414310325515
473,-0.03223740845095047
474,0.0018180114709245299
475,0.05049623412717463
476,0.05772304076779955
477,0.024457171627174423
478,0.005806048580299539
479,0.02452968139279954
480,0.03696107787717451
481,0.005443499752174619
482,-0.038513531497825326
483,-0.03807847290407551
484,0.003534075924049418
485,0.02243495483029956
486,-0.016962017825950415
487,-0.0719888732947005
488,-0.08135068970095038
489,-0.04848765259157539
490,-0.032970562747825394
491,-0.06182139282595034
492,-0.09059971313845039
493,-0.07185996704470043
494,-0.026541363529075435
495,-0.011475445560325426
496,-0.03438047485720053
497,-0.04623984985720053
498,-0.020216900638450497
499,0.004235003658424663
500,-0.019983258060325415
501,-0.0744139221228255
502,-0.09608628540407538
503,-0.0625142639197005
504,-0.021336773685325383
505,-0.022859478763450625
506,-0.05140415649782537
507,-0.05436900024782543
508,-0.02413242798220039
509,-0.0066898010290754595
510,-0.024954205325950385
511,-0.04253379516970046
512,-0.025389263919700422
513,0.001834124752174482
514,-0.004200299075950431
515,-0.03325254516970033
516,-0.03311558227907563
517,0.009334857174049471
518,0.04417177123654947
519,0.03280385131467467
520,0.005983294674049677
521,0.016851702877174413
522,0.06221864623654949
523,0.0887008239709246
524,0.07255531615842448
525,0.05467763061154951
526,0.08019301147092461
527,0.13009584350217462
528,0.14604799193967444
529,0.11551332397092451
530,0.09020741576779967
531,0.10954335326779963
532,0.14530678100217442
533,0.15056776733029942
534,0.1326336852990495
535,0.13459950561154943
536,0.16092055053342458
537,0.16909804076779955
538,0.13881312865842443
539,0.10601454467404947
540,0.10603871459592451
541,0.11612562865842446
542,0.09098890990842468
543,0.03711415404904961
544,0.008496966549049523
545,0.02753480834592459
546,0.04902186889279947
547,0.024247698970924603
548,-0.02777402954470043
549,-0.048076763919700394
550,-0.02432578735720048
551,-0.009823834232200568
552,-0.04529722290407534
553,-0.09896250610720059
554,-0.11243320923220046
555,-0.08251084595095048
556,-0.060782086185325435
557,-0.07412388306032547
558,-0.08752207641970045
559,-0.0655355041540755
560,-0.03159287720095039
561,-0.028297711185325536
562,-0.04453184204470051
563,-0.02849912720095049
564,0.03277968139279963
565,0.09000599975217449
566,0.10236488647092457
567,0.09334950561154942
568,0.10494301147092466
569,0.12709071654904958
570,0.11748720092404952
571,0.07728456420529972
572,0.05664345092404943
573,0.07682533568967442
574,0.09404237670529958
575,0.06793886108029956
576,0.027236712642799477
577,0.028993060299049578
578,0.07430360717404949
579,0.10624818725217455
580,0.09325282592404949
581,0.07341737670529946
582,0.09268080443967452
583,0.13391469115842458
584,0.14968959350217448
585,0.14176991576779963
586,0.1547169372521746
587,0.19660341186154962
588,0.21743788451779955
589,0.18292323608029948
590,0.13188441772092463
591,0.12650258178342444
592,0.1634825622521745
593,0.17865321654904953
594,0.1425191833459245
595,0.10174452514279952
596,0.10460463256467456
597,0.12783998412717468
598,0.1163753845177995
599,0.07163685912717455
600,0.04930385131467463
601,0.0707586852990496
602,0.08808046264279956
603,0.05838368529904958
604,0.011155657955299603
605,0.0033326599084244624
606,0.03099916381467449
607,0.03665492553342453
608,0.0020194274865494855
609,-0.022722515872825477
610,0.0007061950646745085
611,0.036864398189674574
612,0.030177386470924494
613,-0.009163189700950536
614,-0.01894395141970051
615,0.02170180053342463
616,0.05849647826779947
617,0.04111830443967457
618,-0.0015657775915753902
619,-0.00148521118532563
620,0.052848773189674514
621,0.10258241576779947
622,0.10491884154904962
623,0.09111781615842451
624,0.11252431029904941
625,0.15834242553342448
626,0.17076576537717458
627,0.13683925170529943
628,0.11211342162717441
629,0.1372984802209245
630,0.18171473998654952
631,0.1993265563927995
632,0.20223500365842462
633,0.2354686462365494
634,0.2957484313927994
635,0.32683095092404946
636,0.3055453063927993
637,0.2826161071740494
638,0.3109190856896744
639,0.3701917907677996
640,0.4021605407677995
641,0.4007103454552996
642,0.4166060974084247
643,0.4717860290490494
644,0.5221964294396746
645,0.5270706970177994
646,0.5126976501427996
647,0.5330245544396746
648,0.5865851013146746
649,0.6150169860802996
650,0.5885831481896748
651,0.5462052185021744
652,0.5294393493615495
653,0.5182406188927993
654,0.47011024779904953
655,0.39793886108029963
656,0.3620948669396744
657,0.38631312865842427
658,0.4199818298302993
659,0.40501259154904945
660,0.3535628845177996
661,0.3240352966271747
662,0.33165687865842464
663,0.3293607360802997
664,0.28795765990842437
665,0.2460711852990496
666,0.24957582397092448
667,0.2785152770959245
668,0.27678309936154943
669,0.2377003356896743
670,0.21293422240842452
671,0.23113417358029964
672,0.2518961364709247
673,0.22814515990842454
674,0.18044984740842462
675,0.16706776733029938
676,0.19674037475217454
677,0.2175587341271743
678,0.1977635681115495
679,0.1713136169396745
680,0.17781532592404958
681,0.19386415404904955
682,0.16593178100217454
683,0.09719252318967442
684,0.053275775142799464
685,0.07231361693967453
686,0.11239540404904957
687,0.11538441772092467
688,0.08913588256467442
689,0.08539760131467466
690,0.1121214782677995
691,0.11839760131467458
692,0.07539125365842447
693,0.02446522826779951
694,0.01643275756467455
695,0.03458436889279959
696,0.020606097408424562
697,-0.03353452759157549
698,-0.07057896118532558
699,-0.05428037720095058
700,-0.02387461548220049
701,-0.03239854126345043
702,-0.06632505493532537
703,-0.07492954712282551
704,-0.05863096313845051
705,-0.06912876587282546
706,-0.12075571899782545
707,-0.16020908813845058
708,-0.14544932251345033
709,-0.10933140259157548
710,-0.10929917602907557
711,-0.14154185181032553
712,-0.15181406860720048
713,-0.12468735962282551
714,-0.1102901428259504
715,-0.14489341431032554
716,-0.19139634399782546
717,-0.19243565063845058
718,-0.15372349243532546
719,-0.13333213501345043
720,-0.15396519165407563
721,-0.17330112915407558
722,-0.15720396118532554
723,-0.13528989868532548
724,-0.14731846313845054
725,-0.1724310119665755
726,-0.16243272095095063
727,-0.1246148498572004
728,-0.11552695923220058
729,-0.15174155884157559
730,-0.18018150024782553
731,-0.15550401001345038
732,-0.10248325806032543
733,-0.06942686157595057
734,-0.05162168579470028
735,-0.004732037357200625
736,0.07554432983029957
737,0.1339791442834246
738,0.13264979858029946
739,0.10882631225217443
740,0.12287709350217457
741,0.1719903747521745
742,0.19947963256467438
743,0.18385780639279958
744,0.16820375365842444
745,0.18870790404904958
746,0.2190975524865495
747,0.21772792358029935
748,0.19524989623654943
749,0.18781361693967447
750,0.18640370483029955
751,0.14808632201779948
752,0.07212831420529953
753,0.01261390990842437
754,0.0008914977990495121
755,-0.0020411193884504186
756,-0.044604351810325626
757,-0.1066727111853254
758,-0.12374473266970054
759,-0.07946543579470045
760,-0.031745953372825486
761,-0.033180035404075436
762,-0.062280621341575415
763,-0.06573692016970045
764,-0.04549863891970052
765,-0.05665708618532528
766,-0.11822593384157543
767,-0.17871519165407546
768,-0.19194419556032538
769,-0.18699741821657545
770,-0.22608018188845058
771,-0.3143648498572005
772,-0.39881455688845047
773,-0.45309214477907545
774,-0.5080787170447005
775,-0.5796458557165755
776,-0.6187205627478254
777,-0.5720001037634505
778,-0.4630743225134504
779,-0.36919834595095047
780,-0.3233802307165754
781,-0.2829600647009505
782,-0.20482676391970034
783,-0.11199815063845042
784,-0.05460264282595051
785,-0.028209088138450467
786,0.02314393920529967
787,0.12150746459592443
788,0.21657582397092456
789,0.2547401306115493
